Subject,Number,Course Title,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,RateMySchedule_Score
ECON,102,Microeconomic Principles,3.1019184027777778,140,40.97222222222223,40.364583333333336,13.62847222222222,4.340277777777778,0.6944444444444444,4.072022511266091
MATH,231,Calculus II,2.887669616834088,1369,36.75677998518145,30.060688756415995,21.857478078857024,7.785399013070736,3.5396541664747883,2.90476355994007
MATH,231,Calculus II,2.6677272727272725,22,27.27272727272727,36.36363636363637,22.727272727272727,13.636363636363637,0.0,2.4485469051087354
MATH,231,Calculus II,2.8577586206896552,290,31.379310344827587,34.82758620689655,27.241379310344826,4.137931034482759,2.413793103448276,2.3761598724501507
ECON,102,Microeconomic Principles,3.2398265518840432,396,54.25838693826498,26.521560562936862,11.779531637545574,5.827715983203788,1.6128048780487805,5.256598394976097
ECON,102,Microeconomic Principles,3.1127307692307693,118,47.43589743589744,35.5982905982906,9.316239316239315,5.085470085470085,2.564102564102564,4.545596764714284
ECON,102,Microeconomic Principles,3.177018572825024,64,42.08211143695014,39.14956011730206,15.640273704789834,1.5151515151515151,1.6129032258064515,3.9939456077765714
ECON,102,Microeconomic Principles,3.039230769230769,26,34.61538461538461,46.15384615384615,15.384615384615383,3.8461538461538463,0.0,3.5118218831306454
ECON,102,Microeconomic Principles,2.990341461370873,220,36.36668342550696,38.62074744427686,16.473940003351768,7.648315736551031,0.8903133903133903,3.484305005335063
ECON,102,Microeconomic Principles,3.0502540937323546,66,36.34167764602547,45.79333709768492,8.96543070456114,4.3478260869565215,4.551728464771943,3.2457074666303503
MATH,231,Calculus II,3.0959144284890217,3556,44.01882608334123,31.247418634860654,16.43357194026585,4.411479996177774,3.888703345354488,3.7819092375312797
ECON,102,Microeconomic Principles,3.2056722546585297,276,48.535920371219824,33.17985987847603,12.533067167255007,3.9435707970190728,1.8075817860300616,4.671707945641713
ECON,102,Microeconomic Principles,3.29847351584804,366,59.06930756596089,22.632396952073307,11.253236962245367,4.2868620674919296,2.7581964522285074,5.565972659436938
MATH,231,Calculus II,2.933581368282562,487,26.49782410687177,47.033869716290525,18.05063590054988,6.9864723543501,1.4311979219377255,2.436731080630707
ECON,102,Microeconomic Principles,3.5360974025974024,136,64.0909090909091,27.121212121212125,7.316017316017316,1.4718614718614718,0.0,6.646812493502809
ECON,102,Microeconomic Principles,3.260309974747475,140,54.33501683501684,25.909090909090907,14.705387205387206,2.441077441077441,2.609427609427609,5.021059050982231
MATH,231,Calculus II,2.485,22,31.818181818181817,22.727272727272727,27.27272727272727,0.0,18.181818181818183,0.0
ECON,102,Microeconomic Principles,3.10576886983137,254,49.29937394223108,28.050142960857247,13.39498151998152,4.73107919536491,4.524422381565239,4.280596224150504
MATH,231,Calculus II,2.81273631840796,201,36.81592039800995,27.860696517412936,21.890547263681597,7.960199004975125,5.472636815920398,2.602330393194335
MATH,231,Calculus II,2.964775655610162,959,33.33836093512053,36.1920377767236,27.458017436259556,2.0726782872517786,0.9389055646445448,2.797311903293032
IS,445,Data Visualization,3.863548387096774,73,88.86328725038402,9.946236559139784,1.1904761904761905,0.0,0.0,9.225298863627618
ECON,102,Microeconomic Principles,3.4185999954453323,374,58.417936280203136,30.60762109721937,7.7013618455512285,1.601512149575277,1.6715686274509802,5.836043843739459
MATH,231,Calculus II,2.486422018348624,218,24.770642201834864,27.981651376146782,29.357798165137616,8.715596330275229,9.174311926605505,0.5906731735071044
MATH,231,Calculus II,2.5645901639344264,183,14.207650273224044,42.62295081967213,30.05464480874317,10.92896174863388,2.185792349726776,0.649646533440368
MATH,231,Calculus II,2.9942081752591485,3190,35.931318486274094,38.08926185216871,19.56421893856991,4.579070352692896,1.8361303702943927,3.197892342757452
ECON,102,Microeconomic Principles,3.137861847880323,505,52.382214398761846,25.432345192554397,11.965386263469329,6.15127684866621,4.068777296548222,4.688355266367231
MATH,231,Calculus II,2.6660869565217395,23,26.08695652173913,34.78260869565217,17.391304347826086,17.391304347826086,4.3478260869565215,1.905016727713849
ECON,102,Microeconomic Principles,3.4221860185145063,292,60.90641147699004,25.964246014313737,8.146626627180034,2.702754999581625,2.2799608819345663,5.958160178694652
MATH,231,Calculus II,2.488318667072014,229,23.04181365844652,36.52798142047635,21.48993075159404,6.643428972029378,12.296845197453717,0.2680371883123928
ECON,102,Microeconomic Principles,3.5698637566137563,221,70.95238095238095,19.96693121693122,7.711640211640212,0.4761904761904762,0.8928571428571429,7.13569115296551
CS,124,Intro to Computer Science I,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,7.525217997417794
ECON,102,Microeconomic Principles,2.9059829059829063,117,28.205128205128204,44.44444444444445,20.51282051282051,3.418803418803418,3.418803418803418,2.2046477401650355
ECON,102,Microeconomic Principles,3.521669147062733,367,69.23178521040363,19.81615880464565,8.192731975626712,1.6792929292929295,1.0800310800310802,6.918324030113191
ECON,102,Microeconomic Principles,3.353846153846154,75,58.440170940170944,24.03846153846154,13.354700854700855,1.3888888888888888,2.7777777777777777,5.450338057919998
ECON,102,Microeconomic Principles,3.400263741134752,177,61.26128122803655,24.8126118139416,10.033823717334355,3.3714499073541626,0.5208333333333333,6.168443765419328
ECON,102,Microeconomic Principles,3.116986793907847,147,39.30354732986312,35.4911316753422,21.12251783304415,3.368517447464816,0.7142857142857143,3.652905437125347
ECON,102,Microeconomic Principles,3.0349188373099665,321,42.92762359294617,31.491901592708043,17.5991093329803,5.609525609525609,2.371839871839872,3.8384433561503153
MATH,257,Linear Algebra w Computat Appl,3.2827567913053315,4579,54.40652035333563,29.07437566523486,10.62893220663028,4.135505088882937,1.7546666859162952,5.3065836823112305
ECON,102,Microeconomic Principles,3.338583578044515,268,54.30525977400977,32.3142137985888,8.337879275379276,3.976346476346477,1.0663006756756757,5.499963243606121
ECON,102,Microeconomic Principles,3.598843349928877,149,68.51785996522838,24.79453137347874,3.380354038248775,1.973684210526316,1.3335704125177807,7.019002142711544
